,mol_id,atom_index,shift,DFT_shift
19184,20025518,20,30.0,1.0243492560549967
19185,20025518,13,38.6,0.8031776184799959
19186,20025518,12,52.1,0.959411439166999
19190,20025518,18,121.0,1.4506404865809976
19197,20025518,19,149.7,2.101751546641996
19199,20025518,16,164.1,0.6196735628919967
19201,20025518,11,171.4,1.0846356281939968
19204,20025564,1,49.25,42.712720631594976
19205,20025564,4,49.25,59.641144918604994
19206,20025564,2,276.91,291.138540628915
19233,20025666,14,111.1,104.94114363381496
19237,20025666,26,111.1,104.827487238095
19260,20025667,3,106.5,98.48089863763498
19261,20025667,5,106.5,113.97383104911
19263,20025667,17,114.5,108.403797839475
19282,20025741,10,118.6,126.28332126787998
19283,20025741,7,121.8,129.55007282547498
19286,20025741,14,125.3,132.360749101265
19289,20025741,5,128.4,121.20396282105996
19294,20025741,11,131.9,116.279915452405
19304,20025747,14,64.6,110.805659018415
19362,20025780,2,151.5,125.26205669851498
19372,20025784,3,163.3,171.91530103691505
19373,20025784,6,170.2,163.531402213855
19388,20025798,9,61.3,4.268959980479998
19389,20025798,8,72.0,4.454288132047996
19397,20025798,2,159.4,151.9831972239
19408,20025799,3,150.4,158.91990993342998
19409,20025799,2,160.1,146.219097651505
19442,20025818,2,158.9,167.309704198785
19444,20025818,0,166.1,157.55100756185
19455,20025828,1,131.2,139.64335997429998
19457,20025828,3,139.7,127.74548760363498
19507,20025930,4,76.0,148.022523114205
19512,20025930,1,159.3,147.680587461095
19514,20025932,5,114.6,122.187341925185
19515,20025932,0,132.4,139.35206713697
19516,20025932,1,136.8,129.660249943775
19517,20025932,4,147.0,139.85994499369497
19521,20025932,6,168.2,162.11060062075995
19527,20025940,5,113.0,119.86018856418
19531,20025940,0,161.7,154.55283689176
19538,20025946,4,74.5,66.74032055432998
19540,20025946,6,151.7,145.66560260193995
19589,20025971,3,60.9,68.28096392522498
19598,20025973,9,60.7,68.71403731741998
19620,20025989,5,114.8,108.824210527725
19626,20025990,10,19.6,7.340737610799997
19627,20025990,11,19.7,7.566743102721998
19629,20025990,9,32.0,2.253151512981997
19632,20025990,7,63.7,2.599638544382998
19633,20025990,8,65.5,2.6858270794379955
19650,20026004,4,115.0,107.31062820343
19652,20026004,5,119.3,109.87060321179
19660,20026013,6,135.0,127.70189998928998
19721,20026161,8,9.5,17.551649442699954
